用户信息
用户昵称：冷知识bot
用户id: 3911558393
微博数: 769
关注数: 7
粉丝数: 971121

原创微博内容: 
微博序号	微博内容	微博位置	发布时间	点赞数	转发数	评论数	发布工具
12	你有过哪些虚假记忆？ 	无	2019-04-12 23:10	1770	733	3846	无
13	河北省承德市滦平县是普通话标准音的主要采集地。 	无	2019-04-12 20:15	3789	621	1746	无
14	二维码中的三个方块是用来定位的。生活中最常见的二维码一般是QR图码，它带有三个用来定位的小方块，也就是说无论你正着扫、倾斜扫、旋转180度扫，手机都能很快识别出来。那为什么定位是三个而不是一个？如果只有一个方框，经过这个点的正方形就有无数个方框，扫码器会疯掉的；如果两个，以对角的形式就无法确认正反；如果三个就可以确定一个正方形；如果四个，那么正过来倒过去都一样，所以选择三个方框。使用三个定位点，可以让阅读器在任意方向下阅读条码，而不用把条形码翻转至特定方向。甚至，就算是镜像翻转，也可以正常识别。	无	2019-04-12 17:12	1454	191	215	无
15	曼德拉效应？ 	无	2019-04-12 13:20	2742	2084	2100	无
16	动漫界广告植入的典范——《中华小当家》动画片《中华小当家》最初译名为《中華一番！》，而后得到了统一企业的赞助，于是对各个角色的译名进行了修改，一部真正的动画广告片就此诞生。①主角的原名叫刘昴星，而小当家则是统一很有名的干脆面品牌，就是小当家干脆面。②女主角嘟嘟的原名是赵梅丽，嘟嘟的名字是来自满汉嘟嘟好小香肠。③阳泉酒家副料理长及弟的原名是赵友，及第的名字则是源自及第水饺。④主角基友阿Q的原名是唐三杰，阿Q这个名字是来源于阿Q桶装面。⑤每部动漫里面的都有一个最强老头，小当家里面的担当就是“罗添大师”，但在统一的赞助下，变成了鸡精，十全大师。这样就凑成了一套当时统一集团下的主流产品，这在动画植入广告中也是史无前例的。	无	2019-04-12 11:11	2355	789	426	无
17	电视剧《铁甲小宝》中，蝎子莱莱的原型不是蝎子，而是鲎（hòu）；蟑螂恶霸的原型不是蟑螂，而是眼镜蛇；金龟次郎的原型不是金龟子，而是锹形虫。 	无	2019-04-11 23:16	2734	640	781	无
18	整理了一波未发出的投稿。 	无	2019-04-11 21:46	3392	318	546	无
19	关于“旺旺”的几个冷知识1、旺旺的英文是WantWant；旺仔的英文是HOT-KID；浪味仙的英文是Lonely God。2、为什么旺仔的眼睛不是直视前方的，据设计理念，这样的眼神可能象征着企业经营要看得远。3、旺旺集团旗下不仅有零食，还有便利店以及医院。 	无	2019-04-11 18:32	4330	1511	1343	无
20	1992版《新白娘子传奇》主题曲《千年等一回》原版创作的间奏的不是“啦啦啦啦啦…”而是“Chi Chi na a a Chi Chi na a a”。创作者左宏元先生为了体现白蛇传是中国文化所特有的，就把“China”很隐秘地放进了这首主题曲中。  冷知识bot的微博视频 	无	2019-04-11 16:33	3341	736	544	无
21	投稿：广州话里的“听歌”有去参加追悼会并悼念先人的意思。有广州人现身说法下吗？ 	无	2019-04-11 13:25	1577	131	625	无
22	世界上90%左右的国家都曾被英国侵略过。 	无	2019-04-11 10:35	3945	581	1363	无
23	第一个进入太空并绕地球飞行的不是人类，而是一只叫做“莱伊卡”的小狗，由于太空舱内温度过高，它仅存活了几个小时。 冷知识bot的微博视频 	无	2019-04-10 23:12	1958	607	704	无
24	Maurice Tillet，一名罹患肢端肥大症的摔跤手。 他于1954年去世，是怪物史瑞克的灵感来源。 	无	2019-04-10 18:45	3617	370	357	无
25	海尔兄弟中，哥哥叫琴岛，弟弟叫海尔。 	无	2019-04-10 12:45	2554	348	548	无
26	动画片《葫芦兄弟》的原型是民间故事《十兄弟》，里面人物又多又杂，为了节约成本，导演胡进庆坚持把原著的十兄弟简化成了葫芦娃七兄弟，而主要反派也变成了面谱化的蛇精和蝎子精。 	无	2019-04-10 08:56	2248	227	354	无
27	QQ昵称无法成功改成 Subatomic，不信试试。 	无	2019-04-09 23:06	2063	182	895	无
28	儿童擦腿综合征这是一种通过擦腿引起兴奋的运动行为障碍。在儿童中并不少见，女孩与幼儿更多见。发生擦腿综合征的儿童智力正常，发作时神志清醒，多在人睡前、醒后或玩耍时发作，可被分散注意力而终止。发作时，女孩喜坐硬物，手按腿或下腹部，双下肢伸直交叉夹紧，手握拳或使劲抓住东西；男孩多表...全文	无	2019-04-09 22:10	1453	337	1539	无
29	摩尔庄园城堡外面的这个时钟是准的。 	无	2019-04-09 18:52	5484	1221	960	无
30	跳跳糖（Popping Candy）是一种碳酸糖果，主要成分为糖、乳糖、玉米糖浆与调味料。当它在嘴中溶化时会产生气泡，制造出特殊的口感。跳跳糖的制作方法是将所有的原料混合后，溶解在少量水中，接着把溶液加热到150度左右，再打入二氧化碳，最后加以冷却，让细微的高压二氧化碳气泡包覆在跳跳糖里。所以...全文	无	2019-04-09 16:45	2077	222	632	无
31	「哇塞」是闽南方言中的粗语「我操」的意思。这是一个音译词，“哇塞”原是闽南方言，上世纪70年代就已开始在台湾流行开了。传入大陆是在80年代初，首先流行于开放的沿海地区。闽南语中，“哇”是第一人称代词“我”，而“塞”则是一个表示性行为的动词，大致相当于方言中的“肏”（cào）等不文雅...全文	无	2019-04-09 09:30	2595	1852	1893	无
32	有一种名叫Waterphone（水琴）的神奇乐器，可以说近乎承包了许多早期恐怖电影的背景音效。尽管它的底部确实有个储水区，但真正被如此赋名，其实是因为它的发明者名叫Richard Waters。（注意：视频可能会引起不适，胆小勿点） 冷知识bot的微博视频 	无	2019-04-08 23:10	3836	2000	1341	无
33	细数美国各州的奇葩法律1、阿拉巴马州：无论任何时候，将冰激淋卷放在口袋里都是违法的。2、阿肯色州：男性可以合法殴打其配偶，但每月最多一次。3、亚利桑纳州：任何房间中不得有两根以上的假阳具。4、夏威夷州：不得将谷物放在耳朵里。5、印弟安纳州：1897年，尝试推行过圆周率＝4的相关法案，但是最终没有通过。6、爱荷华州：①任何只有一只上臂的钢琴演奏者必须免费演奏。②任何有胃病的男性不得在公共场所与女性接吻。7、纽约州：①不得仅为娱乐而将球砸向他人脑袋。②10:00以后不得穿拖鞋。8、新泽西州：凡谋杀时不得穿防弹背心。9、北卡州：任何一位未婚男性与一为未婚女性，如果在任何旅馆或汽车旅馆登记为已婚，那么他们即算合法夫妻。10、宾西法尼亚州：不得在浴室唱歌。11、南卡州：仅在每周六，男性被允许在法院的门前台阶上合法殴打其配偶。12、犹他州：①不喝牛奶违法。②不得在正在执行急救任务的救护车后座上做爱。13、麻萨诸塞州：上床前必须洗澡。14、密歇根州：如果妻子未经丈夫许可就擅自剪去头发,她将被罚款。15、肯塔基州：如果妻子不同意而丈夫擅自买了顶帽子也属违法行为。16、俄克拉荷马州：捕猎鲸鱼属于非法，尽管该州的居民也许一辈子都不会看到一条鲸鱼。……各州规定还有很多，就不一一列举了。最后美国联邦法律规定：①不得与豪猪发生性关系。②每周四晚6:00以后不得放屁。③任何人不得销售其子女。	无	2019-04-08 22:05	2753	974	1060	无
34	“辛酸”是排在甲酸乙酸丙酸丁酸.....后面的一种酸。 	无	2019-04-08 19:08	3401	372	623	无
35	聋人使用的手语并不是全球通用的，不仅国与国之间有区别，就算在国内它也会像“方言”一样存在差异。 	无	2019-04-08 15:09	1800	124	277	无
36	电视剧《家有儿女》第二部第41集，夏东海收到的退稿信上面有错别字，仔细观看印章也是直接手绘的。 	无	2019-04-08 09:16	3408	397	680	无
37	小时候对音乐的培养可能来自于《猫和老鼠》，感受下米高梅乐队的现场演奏版。 冷知识bot的微博视频 	无	2019-04-07 22:38	4508	1675	399	无
38	最新版本的微博国际版拥有一键保存所有原图的功能。 	无	2019-04-07 19:51	4174	1059	1109	无
39	镇江锅盖面确实是要连锅盖一起煮的。 	无	2019-04-07 15:16	11608	5905	5540	无
40	你所不知道的“大熊猫”你们也许认为熊猫应该是萌萌哒 (๑`н´๑)，人畜无害，自带卖萌特质，可是呢，人家的本有属性是熊，不是猫，是在古代横行一时的“扛把子”。在古书《北川县志》中记载，称熊猫为“食铁兽”。据传说，在远古时期，黄帝的兽兵中，熊猫就是其中的一员猛将。更有传闻，萌萌哒的熊猫可是蚩尤的坐骑，在涿鹿大战中锐不可挡。那为何称它为食铁兽呢？其实，关于大熊猫吃铁，还有一个传闻，传闻大熊猫在无盐可食的情况下，就会闯进村民家舔食铁锅里残存的盐分，村民们不了解大熊猫的习性，误以为大熊猫在吃铁，从此便得名食铁兽。古籍所记载的许多动物或神兽可能指的是熊猫，比如：食铁兽、貔貅、竹熊、白熊、花熊、华熊、花头熊、银狗、峨曲、杜洞尕、执夷、貊、猛豹、猛氏兽等。在东汉中晚期的《神异经》中有这样的记载：南方有兽焉，角足大小形状如水牛，皮毛黑如漆，食铁饮水，其粪可为兵器，其利如钢，名曰"啮铁"。【旧注云：俗云："咋铁"。《玄黄经》曰：南方啮铁，粪利如钢，食铁饮水，腹中不伤。】虽对于《神异经》的这段记载，现在关于食铁兽的说法有两种，一种说它就是熊猫，一个说它是呲铁。但据当代学术考证认为呲铁原型是现在的貘。在晋朝郭璞注释的《尔雅·释兽》中，有这样描述：“似熊、小头、痹脚、黑白驳,能舐食铜铁及竹骨”。因此，对于食铁兽究竟是萌萌哒的大熊猫还是马来貘的看法如今应仍存有争议。但在明代袁牧的《新齐谐初集》里，有此描述：“房县有貘兽，好食铜铁而不伤人，凡民间犁锄刀斧之类，见则涎流，食之如腐。城门上所包铁皮，尽为所啖。”总之熊猫是熊不是猫，尽管动物园里的熊猫已经丧失了不少野性，但大熊猫伤人事件已屡见不鲜，不要被它的外表所欺骗，观赏的时候，还是要注意安全。	无	2019-04-07 11:10	2816	430	632	无
41	伤心乳头综合症（Sad Nipple Syndrome）有些人的乳头当被触碰时（无论男女）心中就会莫名泛起一阵酸楚、悲伤、委屈、孤独、烦躁、空洞、想哭、想妈妈，甚至对世界失去了兴趣。关于这种症状并没有找到特别专业的研究资料，但它确实在很多人身上都存在。有人是这样解释的：刺激乳头时会产生一种名叫“催产素”的激素，而催产素最初的功效是在生产时促进子宫收缩，便于分娩。但催产素也可能产生负面的情绪，比如伤感。	无	2019-04-06 23:25	3048	1283	2910	无
42	英语专业八级考试最多只能考两次；雅思（托福）考试成绩有效期为两年，过了期限，还需重考。 	无	2019-04-06 21:40	3214	304	978	无
43	日本有一个地区叫“中国地方”该地区在日本的地域名：中国地方（平假名：ちゅうごくちほう，英文名：Chugoku Region），它位于日本本州岛西部，大体是由鸟取县、岛根县、冈山县、广岛县、山口县，5个县组成。注意：此“中国地方”与“中华人民共和国”没有任何关系。根据日本方面的说法，1912年中华民国成立前，中国的政权是依朝代名命名（如大清国），直至中华民国的出现才开始固定“中国”在大陆的官方使用，而在此之前的日本已经有“中国”一词来形容本州西端。中华民国的出现，使日语中的“中国”一词的写法和读法也可同时表示邻国的中华民国。在日本二战前的社会，一般会把非日语地区用当地称呼方式发音表达，或以欧美人对各国的称呼之发音作为转化成日语译音，即中国的英文国名：“China”的译音。战后的日本才开始接受“中国”一词也可等于“中国大陆”，而且在近代随着有更多日本人到中国大陆旅游工作，“中国”一词几乎完全取代中国地方，指的是中华人民共和国。为表两个“中国”的区别，经常以山阴山阳地区作为日本的“中国地方”的称呼。	无	2019-04-06 20:56	1809	121	354	无
44	微信个性签名里如果有🎣，过一会儿就会变成[鱼]。 	无	2019-04-06 18:30	3919	642	994	无
45	用英语说“加油”不要用“fighting”Fighting作形容词表示「好战的」、「作战用的」；作名词表示「宣战言论」等，并没有“加油”的意思。如果你给欧美地区的老外说“Fighting”，他们只会一脸懵逼，无法领会你想表达“加油助威”的意思：“Fighting！”=“打起来！打起来！”，What？这么暴力的吗？因此这并不是一个正宗的英语口语。那是谁给Fighting注入了“加油”这层意思？这个单词最初应该是被韩国人用火的，经常在韩剧里听到：“Aja Aja Fighting！”，后来传开了，逐渐成为了东亚地区的特色。那么如何正确地用英语表达“加油”？加油其实就是一种鼓励，只要含有鼓励的意思，任何话基本都可以。例如“Let`s go！”，在合适的语境下都可以理解为加油，除此之外还有：1、Go get them2、Come on3、Hang in there4、Good luck5、Keep going还有很多，只要根据当时的语境，选择对应的拥有“鼓励”意味的口语，老外基本能够理解。	无	2019-04-06 16:35	7403	2598	1301	无
46	印度人普遍属于白种人。 	无	2019-04-06 13:45	2844	351	660	无
47	有一种颜色叫“韩红”。 	无	2019-04-06 12:40	3992	579	517	无
48	王家卫执导的电影大部分是四个字的。旺角卡门（1988年）阿飞正传（1990年）重庆森林（1994年）东邪西毒（1994年）堕落天使（1995年）春光乍泄（1997年）花样年华（2000年）二零四六（2004年）蓝莓之夜（2007年）一代宗师（2013年） 	无	2019-04-06 09:25	2874	274	374	无
49	一张纸最多对折七次？ 冷知识bot的微博视频 	无	2019-04-05 22:39	2990	520	541	无
50	假定一张纸的厚度为0.1毫米，如果折叠一百次后，那么它的厚度是多少？答案: 1.27x10²³公里，是地球和太阳之间距离的800000000000000多倍。 	无	2019-04-05 21:05	3518	296	424	无
51	电视剧《步步惊心》中出现喜之郎果冻。 	无	2019-04-05 19:36	32171	2591	3238	无
52	女生原发性痛经一般是因为前列腺素分泌超标。 	无	2019-04-05 15:00	3206	859	2095	无
53	你读对“app”了吗？ 冷知识bot的秒拍视频 	无	2019-04-05 12:50	1506	246	1191	无
54	众所周知，世界电影票房排名第一的是《阿凡达》（27.88亿美元）和《泰坦尼克号》（21.87亿美元），两部电影都是由著名导演詹姆斯·卡梅隆执导的。但如果算上通货膨胀的话，1939年上映的电影《乱世佳人》（导演：维克多·弗莱明），这部电影在当时票房将近4亿美金，折合到现在超过60亿美金。也就是说再把美国电影影响力提升，观影人口增长等一系列因素考虑进去，《乱世佳人》票房无疑第一。	无	2019-04-05 11:16	3448	494	602	无
55	路透社中的“路透”是个人名，它是由英国人保罗·朱利斯·路透（Paul Julius Reuter）于1850年所创办。 	无	2019-04-04 22:06	2443	428	293	无
56	最近日本公布了新的年号“令和”（Beautiful Harmony），日本官方表示新的年号出自日本古籍《万叶集》中的《梅花歌并序》：“初春令月、气淑风和、梅披镜前之粉、兰熏珮后之香”。其实日本历代年号方案都是委托熟悉中国和日本的古籍专家和历史专家制订。从公元645年“大化”到“平成”总计247个年号，可以确认出处的基本都取自中国古籍。例如“平成”出自《史记·五帝本纪》中的“父义，母慈，兄友，弟恭，子孝，内平外成”，“昭和”出自《尚书》中的“百姓昭明，协和万邦”。	无	2019-04-04 20:55	2021	224	413	无
57	《星球大战》首次上映时，法国还留存着断头刑。 	无	2019-04-04 19:10	2193	111	159	无
58	北京时间不是“北京的时间”，而是东经120度的地方平太阳时，比北京的地方时早约14分半钟。位于陕西省渭南市蒲城县的中国科学院国家授时中心授时部（即二部），负责发布北京时间。 	无	2019-04-04 14:45	3573	325	495	无
59	世界上最短的航线苏格兰奥克尼群岛有两个小岛维斯特芮和帕帕韦斯特雷，二岛相距2.7公里，却开辟出了一条航线，这就是世界上最短的航线。苏格兰洛根航空公司给出的官方飞行时间是2分钟，实际上在风力理想的条件下只需1分钟不到。长期驾驶这条航线的老牌飞行员Stuart Linklater曾经创下过53秒的纪录。有的人肯定会好奇票价，查了一下，飞行时间2分钟，票价17英镑，约合人民币150元。绝大部分来体验这趟最短飞行之旅的乘客都会订往返机票，大概只需要14.5英镑就能飞一个来回，比单程还要便宜2.5英镑。	无	2019-04-03 23:05	2505	457	503	无
60	上好佳（Oishi）是一个来自菲律宾的品牌，总部在马尼拉大都会帕赛市。 	无	2019-04-03 22:05	3064	1032	738	无
61	关于赤面恐惧症 赤面恐惧症又称为“脸红恐惧症”，是社交恐惧症的一种表现形式，主要是指在人面前容易脸红，从而出现紧张和焦虑，产生一种恐惧的心理。患者会在与人交流的时候出现脸红、心跳加快这样的情况。从心理学的角度来讲，人出现在重要场合或与重要人物交往时，适度紧张、心跳加快，这很正常，但随时间推移会习以为常。由于缺乏自信，因而特别注意自己在别人面前的表现，时间一长，就会在大脑的相应区域形成了兴奋点，只要一进入与人交往的环境，就会焦虑不安，形成一种心理障碍，即“赤面恐惧症”。那如何去克服赤面恐惧症呢？①纠正认知脸红是一种正常的生理反应，也许有人会说你，但你应该学会面对调侃保持无所谓的心态，只有你无所谓了，别人才能放下，别人放下了，你才能够真正地放下。②丰富自己的认知一部分脸红的原因是因为自己对外界的接触不够多，所以你需要多接触各种人。比如：一个熟悉的女孩子不小心碰着你手了，你脸红了，但是当你经历以后就觉得很正常，不再因为这种事情而脸红。③学会接纳症状本身不是问题，问题在于你对于症状的看法，你带着症状去做你自己该做的事情，才是最主要的事情。要改变只看到自己的短处的思维方式，反过来经常想想自己有哪些长处，从而逐渐改变对自己的看法。	无	2019-04-03 20:45	3529	1679	1136	无
62	“庆大霉素”名称来源：庆祝中国共产党第九次代表大会以及庆祝工人阶级伟大胜利的抗生素。 	无	2019-04-03 12:10	5255	4021	1357	无
63	跳钢管舞的管子是可以转动的。 	无	2019-04-03 08:36	2484	241	441	无
64	鲸鱼没有在百年前灭绝，多亏了一口石油井。19世纪初，捕鲸业成为了第一个全球化产业，美国的崛起乃至整个工业革命的兴盛都离不开鲸鱼。这种庞大的海洋生命是怎么影响到人类的发展呢？本来海陆相隔，数千万年都相安无事。但在几百年前人类世界突然发生了技术大爆炸，鲸鱼便开始遭殃了。新式煤油灯问世之前，西方国家的照明材料主要有两种：鲸油和煤气。煤气制造成本高，而且运输不便，所以只有大城市的核心城区才有。绝大多数人家选择用鲸油照明。（图一）19世纪初，蒸汽机推广应用，人力得到很大程度的解放。同时，科技和工业知识爆发性增长，人们学习的劲头同步增长，室内照明需求急剧上升。鲸油的价格水涨船高，捕鲸成为了一个利润丰厚的行业。当时众多新兴工业国家诸如英国、荷兰、法国、挪威等都曾参与过大规模的捕鲸活动。而美国人后来居上，捕鲸数量短短几年跃居世界第一。20世纪初，南极格瑞特威肯捕鲸站捕获的一头巨型蓝鲸。（图二）1820年到1860年，是美国捕鲸业的“黄金时期”，美国国内工业革命的兴起，都在拉动鲸油的巨大需求。聪明的人类对鲸鱼的利用也更加多元，鲸类产品有香皂、护肤品、润滑油、女性束腰等等，可谓物尽其用。美国名著《白鲸》中描述道：“在新贝德福，做父亲的都拿大鲸给他们的女儿，分几条小鲸给他们的侄女做嫁妆。你必须去看一看新贝德福的阔绰的婚礼，每个人家都有油池，每夜都毫不在乎地通宵点起鲸脑烛。”1846年前后，美国有近一半的渔船从事捕鲸业，他们追不上成年鲸鱼时，便会先刺中幼鲸，并在海中拖行，以诱捕不肯离去的母鲸。单单20世纪，人类就至少捕杀了280万头鲸鱼。事情的转机出现在1859年8月27日。美国科农·德雷克上校在美国的宾夕法尼亚打出了第一口现代工业油井。自此，石油出现在了人们的视野，并在随后的一个世纪里逐渐替代了鲸油。因为一口油井，全世界的鲸鱼逃过一劫。假设再晚几年出现，鲸鱼可能就彻底不复存在。6500万年前，一颗大陨石撞击到墨西哥的尤卡坦半岛上，恐龙消失了。而鲸鱼和人类的祖先活了下来。5000万年前，灵长类动物学会了爬树，人类的祖先开始把觅食区域向空中拓展。而鲸的祖先为了填饱肚子，从陆地走向海洋。一个和人类走了几千万年的喷水宝宝，就因为人类一两百年的捕捞，就差点再也没有了…	无	2019-04-02 22:50	3991	1266	597	无
65	你所不知道的“睡美人”相信许多人都读过《睡美人》这个童话故事，里面的故事情节美丽而又圆满，然而大多数人所读的是一个被大幅度改编和润色过的版本。现如今最常见的版本是法国作家夏尔·佩罗于1697年所收录的版本，这也是流传得最广的版本。但这一版本实际上是改编自吉姆巴地斯达·巴西耳收录于《五日谈》中的故事《太阳、月亮和塔利娅》，佩罗对巴西耳的故事进行了大幅改写。在《太阳、月亮和塔利娅》中，女主塔利娅Talia被占星师预言会因为亚麻受到危险，果不其然，成年后的Talia被一束亚麻刺伤并陷入了假死状态。Talia的父亲以为女儿已经死去，便将她放在天鹅绒的王座上，锁上大门离去。很久以后，有位国王打猎经过庄园，看到了Talia，但怎么也弄不醒她。于是把她放在了床上，并把她睡了，完事后扬长而去。但奇迹出现了，尽管Talia没有恢复意识，她却成功地在睡梦中生下了一对龙凤胎(名字叫太阳和月亮)，双胞胎找不到奶水，只能吮吸Talia的手指，却意外的吸出了当年的亚麻，Talia由此苏醒。这时国王回来找到了Talia和自己的儿女，但国王其实早有王后，王后从国王的梦话里知道了Talia，骗来了双胞胎，并让厨子把双胞胎做成菜给国王吃了。幸好好心的厨子救下了孩子们，用两只小羊羔代替了双胞胎，故事的最后，国王识破了王后的阴谋，处死了王后，国王和Talia幸福地生活在了一起。事实上，被改编的童话故事还有很多，例如《小红帽》，在早期版本中，小红帽不仅要与狼共枕，在这之前还要跳一段脱衣舞。《青蛙王子》有个版本是公主把这只“恶心的青蛙”摔在了墙上，吧唧，王子变回来了。	无	2019-04-02 20:25	4544	1793	2522	无
66	在数学中，0.999999…=1。 	无	2019-04-02 13:31	2831	578	992	无
67	99版百元人民币主席纽扣缝线为=形，05版为x形。 	无	2019-04-02 10:15	3874	362	325	无
68	动漫角色《七龙珠》里的孙悟空、《火影忍者》里的漩涡鸣人、《海贼王》里的路飞、《名侦探柯南》里的柯南，所有日文版配音都是由女生配的，分别是野泽雅子、竹内顺子、田中真弓和高山南。 	无	2019-04-01 22:35	2602	243	731	无
69	消火栓的专利文件在1836年被一场大火烧毁。 	无	2019-04-01 20:30	3677	269	178	无
70	于谦是北京市摇滚协会副会长。 	无	2019-04-01 16:35	6296	2174	1272	无
71	愚人节只过半天，现在已经结束。 	无	2019-04-01 12:00	5812	707	456	无
72	百度直男吧其实是一个“gay”吧。 	无	2019-04-01 11:22	3176	696	1149	无
73	今天在微信对话框发“我喜欢你”或“我爱你”有彩蛋。 	无	2019-04-01 09:38	2663	507	1143	无
74	库格穆格尔共和国（Republik Kugelmugel）这是一个现时位于奥地利维也纳普拉特公园的私人国家，其唯一领土为艺术家埃德温·利普伯格于1971年建造的一座球状建筑。该国在1976年，于利普伯格和奥地利当局围绕其未经许可而建造的球状建筑产生之纷争后宣布独立。球状建筑于1982年6月初被从原地移至普拉...全文	无	2019-04-01 09:10	1660	139	218	无
75	1913年，弗洛伊德、希特勒、斯大林、铁托和托洛茨基都居住在维也纳市区，不到3英里的范围之内。4年后，托洛茨基指挥了十月革命。11年后，斯大林成为了苏联领导人。20年后，希特勒成为了纳粹领导人。27年后，铁托成为了南斯拉夫领导人。希特勒掌权后，弗洛伊德发现这个地方待不下去了，不是因为他也想当领导人，而是因为他是犹太人。而他的老邻居正在疯狂残害犹太人，所以，弗洛伊德在1938年逃到了伦敦，直到去世。从图一可以看出，当年弗洛伊德的家，距离希特勒家只有1.25英里。那时候他一定想不到，20几年的时间里，他的几个邻居把世界翻了个翻，自己也被迫逃亡。此外，弗洛伊德能够顺利逃离，离不开他的病人兼朋友玛丽·波拿巴公主的帮助，是她花了一大笔钱，把弗洛伊德一家老小从纳粹手里买了出来。而这位玛丽·波拿巴公主，是前法国“领导人”拿破仑·波拿巴的曾侄女。	无	2019-03-31 23:10	2538	672	231	无
76	假如人失去了牙齿 	无	2019-03-31 17:38	3805	751	711	无
77	这是错误投稿，正确：优惠券（quàn）和证券，是一个字，而劵（juàn）古同“倦”。 	无	2019-03-31 16:13	2677	243	447	无
78	小学课文《火烧云》节选自萧红的《呼兰河传》，这里原文是“他妈的，你们也变了……”，然后选入课本时把“他妈的”删掉了。曾经有不少专家认为不该删，因为保留下来才有东北地区语言的原汁原味。萧红的文章属于一种介于散文和小说之间的文体，读萧红的小说，不能漏掉其中散文化的描写，因为“一切景语皆情语”。	无	2019-03-31 11:45	2673	480	562	无
